201000;18
202000;21
203000;9
204000;1
205000;15
206000;309
207000;13
208000;200
209000;15
210000;61
211000;11
212000;14
213000;7
214000;10
215000;11
216000;5
217000;2
218000;3
219000;25
220000;11
221000;45
222000;2
223000;22
224000;14
225000;15
226000;7
261000;28
262000;11
264000;98
265000;9
401000;57
402000;25
403000;21
404000;8
405000;7
406000;6
407000;26
408000;9
409000;7
410000;9
411000;2
412000;2
413000;11
414000;18
415000;16
416000;16
417000;5
418000;9
419000;20
461000;31
462000;10
463000;47
464000;12
601000;18
602000;14
603000;3
604000;8
605000;9
606000;6
607000;3
608000;16
609000;24
610000;6
611000;4
612000;7
613000;8
614000;77
615000;5
616000;5
617000;7
618000;16
619000;44
620000;56
661000;11
662000;6
663000;55
664000;21
801000;13
802000;12
803000;35
804000;10
805000;27
806000;16
807000;24
808000;38
809000;18
810000;7
811000;13
812000;29
861000;10
862000;29
1001000;12
1002000;12
1003000;6
1004000;3
1005000;7
1006000;8
1007000;6
1008000;15
1009000;4
1010000;16
1011000;21
1012000;10
1013000;7
1014000;12
1015000;2
1016000;26
1017000;13
1018000;5
1019000;7
1020000;18
1021000;4
1061000;55
1062000;7
1063000;1
1201000;12
1202000;8
1203000;6
1204000;2
1205000;28
1206000;33
1207000;28
1208000;5
1209000;19
1210000;153
1211000;187
1212000;11
1213000;19
1214000;5
1215000;34
1216000;17
1217000;488
1218000;24
1219000;22
1261000;238
1262000;10
1263000;13
1401000;5
1402000;10
1403000;15
1404000;7
1405000;10
1406000;17
1407000;9
1408000;23
1409000;1
1410000;9
1411000;6
1412000;13
1413000;5
1414000;13
1415000;6
1416000;5
1417000;14
1418000;25
1419000;12
1420000;7
1421000;30
1422000;4
1423000;4
1424000;2
1425000;10
1426000;6
1427000;4
1428000;4
1429000;6
1430000;4
1432000;26
1433000;5
1434000;19
1435000;8
1436000;2
1437000;2
1438000;11
1461000;3
1462000;16
1463000;12
1464000;10
1465000;161
1601000;9
1602000;4
1603000;9
1604000;7
1605000;5
1606000;8
1607000;33
1608000;12
1609000;20
1610000;8
1611000;5
1661000;18
1801000;71
1802000;5
1803000;17
1804000;23
1805000;16
1806000;3
1807000;56
1808000;8
1809000;15
1810000;13
1811000;10
1812000;4
1813000;12
1814000;6
1815000;10
1816000;29
1817000;33
1818000;10
1819000;8
1820000;12
1821000;169
1861000;12
1862000;15
1863000;42
1864000;10
2001000;43
2002000;30
2003000;4
2004000;10
2005000;36
2006000;2
2007000;14
2008000;10
2009000;16
2010000;13
2011000;11
2012000;24
2013000;9
2014000;3
2061000;29
2062000;4
2063000;12
2201000;27
2202000;41
2203000;17
2204000;25
2205000;57
2206000;53
2207000;9
2208000;154
2209000;14
2210000;177
2211000;498
2212000;135
2213000;20
2214000;17
2215000;43
2216000;5
2261000;175
2262000;36
2263000;9
2264000;43
2401000;15
2402000;50
2403000;153
2404000;13
2405000;9
2406000;5
2407000;11
2408000;5
2409000;14
2410000;13
2411000;13
2412000;1
2413000;14
2414000;3
2415000;9
2416000;23
2417000;94
2461000;32
2462000;6
2463000;7
2464000;21
2465000;6
2466000;17
2467000;4
2468000;5
2469000;27
2471000;6
2472000;4
2473000;6
2474000;3
2475000;5
2476000;1
2477000;9
2478000;11
2479000;5
2601000;35
2602000;9
2603000;1
2604000;65
2605000;22
2606000;7
2607000;10
2608000;5
2609000;17
2610000;9
2611000;5
2612000;8
2613000;4
2661000;38
2801000;7
2802000;7
2803000;15
2804000;7
2805000;15
2806000;58
2807000;25
2808000;7
2809000;11
2810000;94
2811000;6
2812000;3
2813000;9
2814000;49
2815000;40
2816000;44
2817000;26
2818000;12
2819000;18
2861000;14
2862000;23
3001000;12
3002000;18
3003000;42
3004000;4
3005000;10
3006000;14
3007000;11
3008000;5
3009000;9
3010000;41
3011000;13
3012000;6
3013000;31
3014000;19
3015000;22
3016000;5
3017000;17
3018000;7
3019000;17
3020000;18
3021000;68
3022000;3
3023000;17
3024000;8
3025000;13
3026000;9
3027000;4
3028000;8
3029000;22
3030000;13
3031000;9
3061000;8
3062000;4
3063000;5
3064000;82
3201000;2
3202000;7
3203000;39
3204000;14
3205000;242
3206000;13
3207000;184
3208000;308
3209000;228
3210000;12
3211000;8
3212000;3
3213000;181
3214000;22
3215000;16
3216000;10
3217000;16
3218000;7
3261000;15
3262000;60
3263000;97
