201000;57
202000;58,5
203000;24,4
204000;4,7
205000;10,5
206000;6,9
207000;8,2
208000;31,6
209000;5
211000;44,6
212000;8,1
213000;9,6
214000;38,7
215000;18,4
216000;15,6
217000;2
218000;25,9
219000;48,8
220000;55,5
221000;6,8
222000;39,8
223000;47,4
224000;0,9
225000;54,7
226000;4,7
261000;57,1
262000;39,7
264000;360,4
265000;33,7
401000;27,4
402000;21
403000;167
404000;29,3
405000;33,4
406000;25,9
407000;78,3
408000;5,2
409000;11,5
410000;27,4
411000;20,5
412000;9,7
413000;27,2
414000;64,2
415000;144,2
416000;55,6
417000;31,6
418000;48,9
419000;14,1
461000;115,4
462000;58,8
463000;138
464000;64,3
601000;53,6
602000;52,3
603000;30,4
604000;30,9
605000;11,7
606000;3,9
607000;16,8
608000;68,9
609000;109
610000;33,1
611000;23,7
612000;11,4
613000;34
614000;36,8
615000;9,8
616000;20,6
617000;44,3
618000;81,1
619000;53,6
620000;36,2
661000;21
662000;19,1
663000;180,9
664000;47,9
801000;79,5
802000;52,2
803000;24,9
804000;86,1
805000;41,1
806000;35
807000;34,2
808000;50,6
809000;88
810000;20,3
811000;61,3
812000;5,3
861000;65,4
862000;69,7
1001000;137
1002000;17,5
1003000;20,5
1004000;2,5
1005000;12,6
1006000;47,2
1007000;24,4
1008000;27,5
1009000;67,4
1010000;13,1
1011000;20,2
1012000;13,3
1013000;18,6
1014000;38,9
1015000;30,4
1016000;65,4
1017000;31,2
1018000;24,5
1019000;67,6
1020000;29,5
1021000;1,7
1061000;177
1062000;29
1063000;28,9
1201000;28,5
1202000;25,9
1203000;12,9
1204000;5
1205000;22,4
1206000;25,1
1207000;2
1208000;14,3
1209000;12,5
1210000;44,3
1211000;108,2
1212000;4,4
1213000;44,6
1214000;0,2
1215000;4,8
1216000;43,6
1217000;8,2
1218000;7,9
1219000;11,9
1261000;252,8
1262000;16,9
1263000;75,7
1401000;10,6
1402000;56,9
1403000;8,1
1404000;16,8
1405000;36,4
1406000;22,6
1407000;25,8
1408000;95,5
1409000;2,9
1410000;4,5
1411000;2,4
1412000;39,9
1413000;23,5
1414000;73,8
1415000;243,9
1416000;23,9
1417000;79,1
1418000;62,1
1419000;58,3
1420000;25,3
1421000;131,2
1422000;68,5
1423000;4,4
1424000;6,8
1425000;32,5
1426000;26,6
1427000;7,5
1428000;37
1429000;43,2
1430000;15,4
1432000;83,1
1433000;24,1
1434000;114
1435000;71,7
1436000;3,3
1437000;26,5
1438000;44,7
1461000;29,3
1462000;64
1463000;101,2
1464000;42,4
1465000;676,1
1601000;22
1602000;7,6
1603000;58,3
1604000;24,6
1605000;29,6
1606000;34
1607000;72,1
1608000;57,1
1609000;70,4
1610000;38
1611000;39,2
1661000;103,9
1802000;8
1803000;29,8
1804000;14,1
1805000;1,8
1806000;11,4
1807000;0,4
1808000;20,4
1809000;31,9
1810000;5,8
1811000;76,1
1812000;58,6
1813000;4,7
1814000;3,1
1815000;7,9
1816000;39,6
1817000;5,2
1818000;95,3
1819000;3
1820000;6,5
1821000;0,2
1861000;22,5
1862000;35,1
1863000;166
1864000;28,1
2001000;57,1
2002000;136,2
2003000;32,6
2004000;8,3
2005000;36,8
2006000;5,8
2007000;21,2
2008000;8,6
2009000;16,1
2010000;34,3
2011000;12,1
2012000;29
2013000;28
2014000;15,2
2061000;158,9
2062000;36,4
2063000;95,3
2201000;50,4
2202000;196
2203000;47,6
2204000;90
2205000;105,3
2206000;35,5
2207000;62,6
2208000;54,9
2209000;58,3
2210000;19,2
2211000;116,4
2212000;87,3
2213000;67,3
2214000;43,3
2215000;73,3
2216000;29,5
2261000;203
2262000;68,4
2263000;48,7
2264000;22,3
2401000;52,9
2402000;26,8
2403000;30,8
2404000;45,1
2405000;17,1
2406000;7,8
2407000;82,4
2408000;4,1
2409000;18,6
2410000;23,5
2411000;54,6
2412000;2,7
2413000;15,6
2414000;38
2415000;18,1
2416000;40,5
2417000;13,1
2461000;34,5
2462000;29,6
2463000;30,8
2464000;85
2465000;41
2466000;48,5
2467000;29,6
2468000;29,7
2469000;92,6
2470000;2,3
2471000;9,5
2472000;32,3
2473000;28,4
2474000;33,8
2475000;50
2476000;10,5
2477000;67
2478000;25,6
2479000;22,5
2601000;17,1
2602000;17,3
2603000;12,2
2604000;90,6
2605000;38,4
2606000;19,5
2607000;73
2608000;6,2
2609000;15,6
2610000;3,5
2611000;13,8
2612000;11,7
2613000;10
2661000;63,9
2801000;16,2
2802000;9,2
2803000;25,3
2804000;34
2805000;25,7
2806000;13,4
2807000;66,9
2808000;40,8
2809000;25,3
2810000;15,3
2811000;26,9
2812000;29,5
2813000;7
2814000;52,2
2815000;30,6
2816000;24,2
2817000;32,8
2818000;24,1
2819000;30,7
2861000;46,2
2862000;101,1
3001000;43,6
3002000;51,9
3003000;74,3
3004000;52,6
3005000;61,8
3006000;40,2
3007000;33,5
3008000;46,1
3009000;28,7
3010000;77,6
3011000;103,2
3012000;28,3
3013000;115,3
3014000;7,8
3015000;70,9
3016000;42,4
3017000;106,1
3018000;30,4
3019000;88,6
3020000;53,7
3021000;205,6
3022000;26,2
3023000;14,4
3024000;72,8
3025000;24,5
3026000;21,7
3027000;28,8
3028000;47,5
3029000;74
3030000;12,8
3031000;39
3061000;55
3062000;48,5
3063000;59,4
3064000;276
3201000;25,8
3202000;22,7
3203000;5,5
3204000;46,7
3205000;38,3
3206000;51,9
3207000;49
3208000;68,8
3209000;67,7
3210000;30,3
3211000;90,2
3212000;12,9
3213000;51,5
3214000;80,2
3215000;38,9
