;KodTeryt;Powiat;SalonIndeks
178;1465000;Powiat m. st. Warszawa;100
179;1601000;Powiat brzeski;10
180;1602000;Powiat głubczycki;7
181;1603000;Powiat kędzierzyńsko-kozielski;18
182;1604000;Powiat kluczborski;9
183;1605000;Powiat krapkowicki;17
184;1606000;Powiat namysłowski;9
185;1607000;Powiat nyski;11
186;1608000;Powiat oleski;7
187;1609000;Powiat opolski;11
188;1610000;Powiat prudnicki;6
189;1611000;Powiat strzelecki;10
190;1661000;Powiat m.Opole;21
191;1801000;Powiat bieszczadzki;4
192;1802000;Powiat brzozowski;3
193;1803000;Powiat dębicki;10
194;1804000;Powiat jarosławski;8
195;1805000;Powiat jasielski;7
196;1806000;Powiat kolbuszowski;3
197;1807000;Powiat krośnieński;2
198;1808000;Powiat leżajski;6
199;1809000;Powiat lubaczowski;3
200;1810000;Powiat łańcucki;4
201;1811000;Powiat mielecki;12
202;1812000;Powiat niżański;4
203;1813000;Powiat przemyski;2
204;1814000;Powiat przeworski;4
205;1815000;Powiat ropczycko-sędziszowski;5
206;1816000;Powiat rzeszowski;11
207;1817000;Powiat sanocki;6
208;1818000;Powiat stalowowolski;12
209;1819000;Powiat strzyżowski;1
210;1820000;Powiat tarnobrzeski;8
211;1821000;Powiat leski;8
212;1861000;Powiat m.Krosno;5
213;1862000;Powiat m.Przemyśl;7
214;1863000;Powiat m.Rzeszów;25
215;1864000;Powiat m.Tarnobrzeg;6
216;2001000;Powiat augustowski;12
217;2002000;Powiat białostocki;11
218;2003000;Powiat bielski;16
219;2004000;Powiat grajewski;10
220;2005000;Powiat hajnowski;12
221;2006000;Powiat kolneński;4
222;2007000;Powiat łomżyński;12
223;2008000;Powiat moniecki;6
224;2009000;Powiat sejneński;4
225;2010000;Powiat siemiatycki;5
226;2011000;Powiat sokólski;6
227;2012000;Powiat suwalski;2
228;2013000;Powiat wysokomazowiecki;12
229;2014000;Powiat zambrowski;8
230;2061000;Powiat m.Białystok;23
231;2062000;Powiat m.Łomża;10
232;2063000;Powiat m.Suwałki;9
233;2201000;Powiat bytowski;11
234;2202000;Powiat chojnicki;10
235;2203000;Powiat człuchowski;7
236;2204000;Powiat gdański;15
237;2205000;Powiat kartuski;10
238;2206000;Powiat kościerski;5
239;2207000;Powiat kwidzyński;11
240;2208000;Powiat lęborski;10
241;2209000;Powiat malborski;7
